Awardee;Funds Obligated to Date;Agency
UNIVERSITY OF SOUTHERN CALIFORNIA;$457,000;NSF
UNIVERSITY OF ROCHESTER;$419,400;NSF
UNIVERSITY OF MAINE SYSTEM;$599,999;NSF
UNIVERSITY OF MONTANA SYSTEM;$400,000;NSF
UNIVERSITY CORPORATION, THE;$266,865;NSF
UNIVERSITY OF PITTSBURGH THE;$274,974;NSF
WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION;$43,365;NSF
UNIVERSITY OF DELAWARE;$249,991;NSF
UNIVERSITY OF CONNECTICUT;$24,653;NSF
NEW JERSEY INSTITUTE OF TECHNOLOGY;$250,000;NSF
MICHIGAN TECHNOLOGICAL UNIVERSITY;$199,164;NSF
WAYNE STATE UNIVERSITY (INC);$107,033;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$1,000,000;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$1,009,136;NSF
OKLAHOMA STATE UNIVERSITY;$500,000;NSF
UNIVERSITY OF LOUISVILLE;$390,000;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$420,000;NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;$20,000;NSF
WAYNE STATE UNIVERSITY (INC);$0;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$311,774;NSF
NORTHWEST RESEARCH ASSOCIATES, INC.;$301,061;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$10,000,000;NSF
COLORADO STATE UNIVERSITY;$190,000;NASA
SOUTH DAKOTA STATE UNIVERSITY;$1,598,460;NASA
REGENTS OF THE UNIVERSITY OF MICHIGAN;$373,307;NASA
NATIONAL ACADEMY OF SCIENCES;$594,039;NSF
LOWELL OBSERVATORY;$344,244;NSF
UNIVERSITY OF PACIFIC;$145,757;NSF
UNIVERSITY OF HOUSTON SYSTEM;$168,188;NSF
LOUISIANA BOARD OF REGENTS;$987,000;NSF
ARIZONA STATE UNIVERSITY;$35,000;NSF
MATERIALS RESEARCH SOCIETY;$4,000;NSF
NORTHERN ILLINOIS UNIVERSITY INC;$140,176;NSF
NATIONAL ACADEMY OF SCIENCES;$333,473;NSF
BUCKNELL UNIVERSITY;$0;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$18,515;NSF
LEHIGH UNIVERSITY;$9,014;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$298,100;NSF
FLORIDA ATLANTIC UNIVERSITY;$1,607,671;NSF
UNIVERSITY OF WASHINGTON;$2,750,000;NSF
UNIVERSITY OF MARYLAND;$799,687;NSF
UNIVERSITY OF CALIFORNIA, SAN FRANCISCO;$530,000;NSF
UNIVERSITY OF SOUTH FLORIDA;$598,522;NSF
KETTERING UNIVERSITY;$77,808;NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;$975,000;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$237,728;NSF
GEORGIA TECH RESEARCH CORPORATION;$185,001;NSF
WOODS HOLE RESEARCH CENTER, INC., THE;$595,305;NASA
UNIVERSITY OF UTAH, THE;$395,778;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$130,000;NSF
UNIVERSITY OF CALIFORNIA, SANTA BARBARA;$180,000;NSF
NORTH CAROLINA STATE UNIVERSITY;$199,999;NSF
DUKE UNIVERSITY;$15,000;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$648,977;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$0;NSF
UNIVERSITY OF ARIZONA;$0;NSF
COLORADO STATE UNIVERSITY;$600,000;NSF
GEORGIA TECH RESEARCH CORPORATION;$477,510;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$498,196;NSF
WILLIAM MARSH RICE UNIVERSITY;$238,407;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$182,618;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$120,802;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$120,802;NSF
UNIVERSITY OF CALIFORNIA, SANTA CRUZ;$335,130;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$420,000;NSF
HARVEY MUDD COLLEGE;$170,000;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$316,901;NSF
DORDT COLLEGE, INCORPORATED;$55,685;NSF
UNIVERSITY OF MARYLAND;$15,120;NASA
TECHNICAL EDUCATION RESEARCH CENTERS, INC.;$822,919;NSF
UNIVERSITY OF MASSACHUSETTS;$386,417;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$400,000;NSF
UNIVERSITY OF OKLAHOMA;$25,000;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$300,000;NSF
UNIVERSITY OF MIAMI;$303,381;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$1,478,161;NSF
UNIVERSITY OF PITTSBURGH THE;$1,499,853;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$499,807;NSF
UNIVERSITY OF ALASKA FAIRBANKS;$427,770;NSF
UNIVERSITY OF MASSACHUSETTS;$355,901;NSF
EDUCATION DEVELOPMENT CENTER, INC.;$1,497,329;NSF
ASSOCIATION OF AMERICAN GEOGRAPHERS, THE;$292,491;NSF
UNIVERSITY OF NEBRASKA;$244,058;NSF
CENTRALIA COLLEGE;$25,000;NSF
OLD DOMINION UNIVERSITY RESEARCH FOUNDATION;$1,000,011;NSF
VIRGINIA COMMUNITY COLLEGE SYSTEM OFFICE;$299,779;NSF
JAMES MADISON UNIVERSITY;$700,067;NSF
NORTH CAROLINA STATE UNIVERSITY;$1,080,000;NSF
JACKSON STATE UNIVERSITY;$299,797;NSF
HIRAM COLLEGE;$17,580;NSF
WILLIAM MARSH RICE UNIVERSITY;$200,000;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$200,000;NSF
CENTRAL MICHIGAN UNIVERSITY (INC);$108,471;NSF
UNIVERSITY OF SOUTH FLORIDA;$199,999;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$499,340;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$198,409;NSF
SEATTLE PACIFIC UNIVERSITY;$396,087;NSF
BAYLOR COLLEGE OF MEDICINE;$109,609;NSF
COLORADO STATE UNIVERSITY;$120,011;NASA
JOHNS HOPKINS UNIVERSITY, THE;$173,459;NSF
UNIVERSITY OF MASSACHUSETTS;$259,745;NSF
UNIVERSITY OF WYOMING;$1,203,980;NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK INC;$270,807;NSF
UNIVERSITY OF TEXAS AT ARLINGTON;$450,000;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$475,000;NSF
UNIVERSITY OF UTAH, THE;$216,000;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$446,815;NSF
UNIVERSITY OF FLORIDA;$420,000;NSF
UNIVERSITY OF WASHINGTON;$676,775;NSF
MICHIGAN TECHNOLOGICAL UNIVERSITY;$226,349;NSF
NORTHEASTERN UNIVERSITY;$636,000;NSF
YALE UNIVERSITY;$359,081;NSF
UNIVERSITY OF MARYLAND;$199,354;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$199,979;NSF
UNIVERSITY OF MASSACHUSETTS;$149,282;NSF
WESLEYAN UNIVERSITY;$599,995;NSF
TEXAS A & M UNIVERSITY;$220,000;NSF
TRUSTEES OF INDIANA UNIVERSITY;$367,400;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$212,154;NSF
AUGUSTANA COLLEGE;$36,000;NSF
GEORGIA TECH RESEARCH CORPORATION;$436,346;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$360,000;NSF
NEW JERSEY INSTITUTE OF TECHNOLOGY;$500,000;NSF
FRANKLIN W. OLIN COLLEGE OF ENGINEERING, INC.;$479,951;NSF
ARIZONA STATE UNIVERSITY;$338,921;NSF
UNIVERSITY OF IOWA, THE;$408,673;NSF
UNIVERSITY OF RICHMOND;$249,852;NSF
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY;$181,513;NSF
FLORIDA INTERNATIONAL UNIVERSITY;$479,903;NSF
TEXAS STATE UNIVERSITY-SAN MARCOS;$144,816;NSF
OHIO STATE UNIVERSITY, THE;$704,613;NSF
TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION;$500,000;NSF
UNIVERSITY OF CHICAGO, THE;$810,394;NSF
SAN FRANCISCO STATE UNIVERSITY;$135,000;NSF
SEATTLE PACIFIC UNIVERSITY;$527,746;NSF
TRUSTEES OF DARTMOUTH COLLEGE;$94,719;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$810,000;NSF
HARVEY MUDD COLLEGE;$199,544;NSF
ILLINOIS STATE UNIVERSITY;$399,981;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$360,000;NSF
UNIVERSITY OF MARYLAND BALTIMORE COUNTY;$500,000;NSF
CORNELL UNIVERSITY, INC;$250,000;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$499,997;NSF
SOUTHERN ILLINOIS UNIVERSITY;$484,238;NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION;$349,971;NSF
TRUSTEES OF TUFTS COLLEGE INC;$949,924;NSF
GEORGIA TECH RESEARCH CORPORATION;$579,987;NSF
BOSTON COLLEGE, TRUSTEES OF;$300,000;NSF
ROCHESTER INSTITUTE OF TECHNOLOGY (INC);$706,671;NSF
UNIVERSITY OF OKLAHOMA;$380,000;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$370,254;NSF
G & A TECHNICAL SOFTWARE INC;$300,000;NSF
UNIVERSITY OF TEXAS AT DALLAS;$406,035;NSF
CARNEGIE MELLON UNIVERSITY;$216,000;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$406,536;NSF
CARNEGIE MELLON UNIVERSITY;$165,635;NSF
SMITHSONIAN INSTITUTION;$239,030;NSF
DREXEL UNIVERSITY;$520,130;NSF
UNIVERSITY OF ARIZONA;$540,913;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE;$180,000;NSF
UNIVERSITY OF ILLINOIS;$400,000;NSF
NORTHERN ILLINOIS UNIVERSITY INC;$131,035;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$810,000;NSF
UNIVERSITY OF CALIFORNIA, SANTA BARBARA;$436,867;NSF
DUKE UNIVERSITY;$700,000;NSF
ARIZONA STATE UNIVERSITY;$520,000;NSF
SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE;$249,066;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$375,000;NSF
ARIZONA STATE UNIVERSITY;$788,057;NSF
COLORADO STATE UNIVERSITY;$200,000;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$270,000;NSF
CARNEGIE MELLON UNIVERSITY;$96,277;NSF
RENSSELAER POLYTECHNIC INSTITUTE;$350,000;NSF
YOUNGSTOWN STATE UNIVERSITY;$470,000;NSF
HENRY HUNTINGTON;$78,693;NSF
CARNEGIE FOUNDATION FOR THE ADVANCEMENT OF TEACHING, THE;$3,499,709;NSF
CAL POLY POMONA FOUNDATION INC;$3,386,011;NSF
SRI INTERNATIONAL;$3,038,901;NSF
VANDERBILT UNIVERSITY, THE;$1,548,206;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$798,443;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$168,498;NSF
WESTED;$2,999,288;NSF
NORTH CAROLINA STATE UNIVERSITY;$449,643;NSF
UNIVERSITY OF CALIFORNIA, SANTA BARBARA;$656,432;NSF
UNIVERSITY OF PUERTO RICO;$475,000;NSF
UNIVERSITY OF MASSACHUSETTS;$862,895;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$160,448;NSF
OHIO STATE UNIVERSITY, THE;$943,013;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$11,820;NSF
COLORADO STATE UNIVERSITY;$11,989;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$11,972;NSF
DALLAS COUNTY COMMUNITY COLLEGE DISTRICT;$510,894;NSF
NORTHEASTERN UNIVERSITY;$25,000;NSF
CORNELL UNIVERSITY, INC;$15,117;NSF
OHIO STATE UNIVERSITY, THE;$239,994;NSF
UNIVERSITY OF MARYLAND;$11,055;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$11,249;NSF
THE UNIVERSITY OF SOUTH DAKOTA;$420,000;NSF
INDIAN RIVER STATE COLLEGE;$91,848;NSF
NORTH CAROLINA STATE UNIVERSITY;$260,000;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$249,928;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$14,912;NSF
WASHINGTON STATE UNIVERSITY;$23,977;NSF
UNIVERSITY OF MASSACHUSETTS;$305,441;NSF
UNIVERSITY OF ILLINOIS;$229,643;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE;$569,932;NSF
UNIVERSITY OF KANSAS CENTER FOR RESEARCH, INC.;$492,560;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$200,158;NSF
DUKE UNIVERSITY;$415,066;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$528,841;NSF
UNIVERSITY OF ALASKA FAIRBANKS;$692,977;NSF
UNIVERSITY OF MIAMI;$400,000;NSF
OHIO STATE UNIVERSITY, THE;$614,775;NSF
UNIVERSITY OF ARIZONA;$280,438;NSF
NEW SCHOOL, THE;$14,990;NSF
NORTHWESTERN UNIVERSITY;$230,654;NSF
GEORGIA TECH RESEARCH CORPORATION;$170,618;NSF
UNIVERSITY OF WASHINGTON;$13,332;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$317,762;NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY;$1,000,000;NSF
DUKE UNIVERSITY;$255,562;NSF
DUKE UNIVERSITY;$337,272;NSF
UNIVERSITY OF ARKANSAS SYSTEM;$778,000;NSF
AMERICAN UNIVERSITY;$13,793;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$13,028;NSF
UNIVERSITY OF ILLINOIS;$325,260;NSF
ARIZONA STATE UNIVERSITY;$498,452;NSF
NORTHWESTERN UNIVERSITY;$156,460;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$12,016;NSF
THE JACKSON LABORATORY;$362,350;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$444,920;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$493,592;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$253,700;NSF
YALE UNIVERSITY;$12,000;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$411,387;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$11,340;NSF
SOCIETY FOR INDUSTRIAL AND APPLIED MATHEMATICS;$49,917;NSF
CLEMSON UNIVERSITY;$30,021;NSF
OKLAHOMA STATE UNIVERSITY;$541,725;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$17,944;NSF
AUBURN UNIVERSITY;$514,358;NSF
UNIVERSITY OF MIAMI;$200,000;NSF
OLD DOMINION UNIVERSITY RESEARCH FOUNDATION;$150,000;NSF
NORTHERN NEW MEXICO COLLEGE;$621,708;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$259,266;NASA
LOUISIANA TECH UNIVERSITY;$161,041;NSF
UNIVERSITY OF NOTRE DAME DU LAC;$471,000;NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;$153,024;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$352;NSF
TRUSTEES OF UNION COLLEGE IN THE TOWN OF SCHENECTADY IN THE STATE OF NEW YORK;$3,600;NSF
TEXAS STATE UNIVERSITY;$705,383;NSF
TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION;$30,000;NASA
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$961,252;NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS;$650,000;NSF
UNIVERSITY OF ARKANSAS SYSTEM;$184,463;NSF
UNIVERSITY OF CENTRAL FLORIDA;$313,860;NSF
ARIZONA STATE UNIVERSITY;$300,000;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$310,000;NSF
UNIVERSITY OF MARYLAND;$20,000;NSF
DUKE UNIVERSITY;$407,000;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE;$400,000;NSF
NEW YORK UNIVERSITY;$96,863;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$700,000;NSF
CORPORATION OF HAVERFORD COLLEGE, THE;$46,835;NSF
TRUSTEES OF INDIANA UNIVERSITY;$19,562;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$24,961;NSF
UNIVERSITY OF ILLINOIS;$44,327;NSF
NATIONAL BUREAU OF ECONOMIC RESEARCH, INC.;$95,740;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$70,245;NSF
ARIZONA STATE UNIVERSITY;$304,902;NSF
MICHIGAN STATE UNIVERSITY;$299,956;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$316,000;NSF
UNIVERSITY OF ALASKA FAIRBANKS;$165,961;NSF
OHIO STATE UNIVERSITY, THE;$25,186;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$24,917;NSF
WHITTIER COLLEGE, A CORPORATION;$94,991;NASA
UNIVERSITIES SPACE RESEARCH ASSOCIATION;$281,702;NASA
CALIFORNIA INSTITUTE OF TECHNOLOGY;$60,000;NASA
YALE UNIVERSITY;$9,155;NSF
OHIO AEROSPACE INSTITUTE;$149,770;NASA
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$490,110;NASA
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$245,000;NSF
LOUISIANA STATE UNIVERSITY SYSTEM;$510,000;NSF
UNIVERSITY OF ILLINOIS;$4,176,297;NSF
ST CLOUD STATE UNIVERSITY;$29,570;NSF
UNIVERSITY OF OKLAHOMA;$276,932;NSF
YALE UNIVERSITY;$11,705;NSF
TEXAS CHRISTIAN UNIVERSITY INC;$165,000;NSF
UNIVERSITY OF EVANSVILLE;$610,600;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$455,575;NSF
TEXAS TECH UNIVERSITY SYSTEM;$516,000;NSF
UNIVERSITY OF UTAH, THE;$766,579;NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION;$662,304;NSF
SOUTHWEST RESEARCH INSTITUTE;$2,391,549;NASA
UNIVERSITY OF WASHINGTON;$187,559;NSF
GEORGE MASON UNIVERSITY;$10,308;NSF
UNIVERSITY OF DAYTON;$232,788;NSF
WILLIAM MARSH RICE UNIVERSITY;$400,000;NSF
WILLAMETTE UNIVERSITY;$691,479;NSF
CORNELL UNIVERSITY, INC;$398,750;NSF
UNIVERSITY OF ARKANSAS SYSTEM;$216,083;NSF
NATIONAL BUREAU OF ECONOMIC RESEARCH, INC.;$75,154;NSF
WESLEYAN UNIVERSITY;$166,200;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$192,706;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$208,834;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$59,723;NSF
REGENTS OF THE UNIVERSITY OF IDAHO;$26,945;NSF
MICHIGAN TECHNOLOGICAL UNIVERSITY;$70,434;NSF
JOHNS HOPKINS UNIVERSITY, THE;$199,663;NSF
RUSH UNIVERSITY MEDICAL CENTER;$169,998;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$300,000;NSF
TRUSTEES OF INDIANA UNIVERSITY;$614,184;NSF
CORNELL UNIVERSITY, INC;$200,000;NSF
UNIVERSITY OF ALABAMA IN HUNTSVILLE;$55,000;NASA
UNIVERSITY OF TENNESSEE;$517,857;NSF
GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.;$300,000;NSF
MICHIGAN STATE UNIVERSITY;$268,339;NSF
UNIVERSITY OF NORTH TEXAS;$625,235;NSF
KENYON COLLEGE;$496,500;NSF
UNIVERSITY OF CHICAGO, THE;$847,771;NSF
UNIVERSITY OF MIAMI;$199,816;NASA
WESTERN WASHINGTON UNIVERSITY;$180,659;NSF
DREXEL UNIVERSITY;$700,000;NSF
TRUSTEES OF THE COLORADO SCHOOL OF MINES;$290,000;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$549,967;NSF
NEW YORK UNIVERSITY;$500,000;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$300,000;NSF
GEORGE MASON UNIVERSITY;$995,055;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$233,800;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$248,480;NSF
LONG ISLAND UNIVERSITY;$159,988;NSF
SRI INTERNATIONAL;$596,095;NSF
UNIVERSITY OF MASSACHUSETTS;$199,741;NSF
WORCESTER POLYTECHNIC INSTITUTE;$499,780;NSF
UNIVERSITY OF KENTUCKY;$240,000;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$400,000;NSF
UNIVERSITY OF CHICAGO, THE;$56,000;NASA
UNIVERSITY SYSTEM OF NEW HAMPSHIRE;$13,869;NASA
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$185,382;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$192,000;NSF
WORCESTER STATE UNIVERSITY;$22,284;NSF
CARNEGIE MELLON UNIVERSITY;$167,624;NSF
SYRACUSE UNIVERSITY;$498,452;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$252,545;NSF
NORFOLK STATE UNIVERSITY;$49,962;NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS;$400,000;NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;$100,800;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$500,000;NSF
UNIVERSITY OF MONTANA SYSTEM;$483,979;NSF
TRUSTEES OF DARTMOUTH COLLEGE;$473,324;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$461,875;NSF
UNIVERSITY OF FLORIDA;$302,710;NSF
UNIVERSITY OF NEVADA, RENO;$319,999;NSF
UNIVERSITY OF NEW MEXICO;$249,801;NSF
DREW UNIVERSITY;$42,149;NSF
GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.;$90,743;NSF
NORTHWESTERN UNIVERSITY;$478,445;NSF
UNIVERSITY OF TEXAS AT DALLAS;$82,552;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$700,000;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$24,980;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$11,669;NSF
TRUSTEES OF INDIANA UNIVERSITY;$24,800;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$328,416;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$300,000;NSF
COLORADO STATE UNIVERSITY;$510,000;NSF
UNIVERSITY OF MARYLAND;$400,000;NSF
UNIVERSITY OF UTAH, THE;$2,400,000;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;$110,250;NSF
SISTEMA UNIVERSITARIO ANA G. MENDEZ, INC.;$117,432;NSF
UNIVERSITY OF MISSOURI SYSTEM;$368,682.94;NSF
UNIVERSITY OF ILLINOIS;$150,000;NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE;$499,255;NSF
TEXAS A & M UNIVERSITY;$143,365;NSF
UNIVERSITY OF MISSOURI SYSTEM;$165,395;NSF
UNIVERSITY OF TEXAS AT ARLINGTON;$47,999;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$749,659;NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION;$250,000;NSF
UNIVERSITY OF NOTRE DAME DU LAC;$296,350;NSF
;$172,000;NSF
CARNEGIE MELLON UNIVERSITY;$363,162;NSF
NORTHWESTERN UNIVERSITY;$447,841;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$64,000;NSF
RENSSELAER POLYTECHNIC INSTITUTE;$26,662;NSF
UNIVERSITY OF KENTUCKY;$151,079;NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;$147,063;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$119,999;NSF
COLLEGE OF MOUNT SAINT VINCENT;$868,618;NSF
UNIVERSITY OF HOUSTON SYSTEM;$150,000;NSF
GEORGIA REGENTS RESEARCH INSTITUTE, INC.;$250,000;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$500,000;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$350,000;NSF
OHIO STATE UNIVERSITY, THE;$180,000;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$200,000;NSF
SYRACUSE UNIVERSITY;$396,900;NSF
OHIO STATE UNIVERSITY, THE;$350,000;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$225,812;NSF
TRUSTEES OF BOSTON UNIVERSITY;$500,000;NSF
TRUSTEES OF BOSTON UNIVERSITY;$397,415;NSF
GEORGIA TECH RESEARCH CORPORATION;$320,271;NSF
COLORADO STATE UNIVERSITY;$110,122;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$280,000;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$370,345;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$100,000;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$150,000;NSF
UNIVERSITY OF WASHINGTON;$149,857;NSF
SYRACUSE UNIVERSITY;$65,811;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$1,794,192;NSF
UNIVERSITY OF PUGET SOUND, THE;$280,000;NSF
WAKE FOREST UNIVERSITY;$360,000;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$1,050,000;NSF
VALENCIA COLLEGE;$56,734;NSF
FLORIDA INTERNATIONAL UNIVERSITY;$332,451;NSF
FLORIDA GULF COAST UNIVERSITY;$74,511;NSF
UNIVERSITY OF SOUTH FLORIDA;$161,648;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$1,789,974;NASA
OHIO STATE UNIVERSITY, THE;$284,921;NASA
DREXEL UNIVERSITY;$149,999;NSF
EVERETT COMMUNITY COLLEGE;$218,147;NSF
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;$200,000;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$124,000;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$340,011;NSF
UTAH STATE UNIVERSITY;$199,998;NSF
FLORIDA ATLANTIC UNIVERSITY;$126,000;NSF
UNIVERSITY OF CONNECTICUT;$421,426;NSF
SOUTHERN METHODIST UNIVERSITY INC;$0;NSF
MONTANA STATE UNIVERSITY, INC;$422,611;NSF
CORNELL UNIVERSITY, INC;$27,000;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$180,000;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$62,495;NSF
